YUGIPEDIA CARD TITLE=2269,_O,ID,QTD,SET,COD,Name,Rarity,CARD1,CARD2,TYPE1,TYPE2,Attrib,LV,ATK,DEF,DescEffect,Link,IMG_URL,LIMIT,=IMAGE(S1),detecta duplicatas,0
Dark Magician,0,0,,SS01,ENA01,Dark Magician,Common,Monster,Normal,Spellcaster,,DARK,7,2500,2100,The ultimate wizard in terms of attack and defense.,https://yugipedia.com/wiki/Dark_Magician,https://ms.yugipedia.com//thumb/b/bf/DarkMagician-HAC1-EN-DUPR-1E.png/300px-DarkMagician-HAC1-EN-DUPR-1E.png,4,,SS01ENA01Dark MagicianCommon,1
Feral Imp,1,1,,SS01,ENA02,Feral Imp,Common,Monster,Normal,Fiend,,DARK,4,1300,1400,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",https://yugipedia.com/wiki/Feral_Imp,https://ms.yugipedia.com//thumb/9/96/FeralImp-SS01-EN-C-1E.png/300px-FeralImp-SS01-EN-C-1E.png,4,,SS01ENA02Feral ImpCommon,1
Rogue Doll,2,2,,SS01,ENA03,Rogue Doll,Common,Monster,Normal,Spellcaster,,LIGHT,4,1600,1000,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",https://yugipedia.com/wiki/Rogue_Doll,https://ms.yugipedia.com//thumb/4/4d/RogueDoll-EVSD-EN-C-UE.png/300px-RogueDoll-EVSD-EN-C-UE.png,4,,SS01ENA03Rogue DollCommon,1
Dark Magician Girl,3,3,,SS01,ENA04,Dark Magician Girl,Common,Monster,Effect,Spellcaster,,DARK,6,2000,1700,"Gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in the GYs.",https://yugipedia.com/wiki/Dark_Magician_Girl,https://yugipedia.com/thumb.php?f=DarkMagicianGirl-YCPC-JP-C.png&w=300,4,,SS01ENA04Dark Magician GirlCommon,1
Legion the Fiend Jester,4,4,,SS01,ENA05,Legion the Fiend Jester,Common,Monster,Effect,Spellcaster,,DARK,4,1300,1500,"During your Main Phase, you can Tribute Summon 1 Spellcaster monster in face-up Attack Position, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) If this card is sent from the field to the GY: You can add 1 Spellcaster Normal Monster from your Deck or GY to your hand. You can only use this effect of ""Legion the Fiend Jester"" once per turn.",https://yugipedia.com/wiki/Legion_the_Fiend_Jester,https://ms.yugipedia.com//thumb/d/d9/LegiontheFiendJester-SS01-EN-C-1E.png/300px-LegiontheFiendJester-SS01-EN-C-1E.png,4,,SS01ENA05Legion the Fiend JesterCommon,1
The Stern Mystic,5,5,,SS01,ENA06,The Stern Mystic,Common,Monster,Effect,Spellcaster,Flip,LIGHT,4,1500,1200,"FLIP: Reveal all face-down cards on the field (Flip Effects are not activated), then return them to their original positions.",https://yugipedia.com/wiki/The_Stern_Mystic,https://ms.yugipedia.com//thumb/1/1b/TheSternMystic-SS01-EN-C-1E.png/300px-TheSternMystic-SS01-EN-C-1E.png,4,,SS01ENA06The Stern MysticCommon,1
Double Coston,6,6,,SS01,ENA07,Double Coston,Common,Monster,Effect,Zombie,,DARK,4,1700,1650,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,https://yugipedia.com/wiki/Double_Coston,https://ms.yugipedia.com//thumb/1/14/DoubleCoston-SS01-EN-C-1E.png/300px-DoubleCoston-SS01-EN-C-1E.png,4,,SS01ENA07Double CostonCommon,1
Blue Dragon Summoner,7,7,,SS01,ENA08,Blue Dragon Summoner,Common,Monster,Effect,Spellcaster,,WIND,4,1500,600,"If this card is sent from the field to the GY: You can add 1 Dragon, Warrior, or Spellcaster Normal Monster from your Deck to your hand.",https://yugipedia.com/wiki/Blue_Dragon_Summoner,https://ms.yugipedia.com//thumb/c/cc/BlueDragonSummoner-SS01-EN-C-1E.png/300px-BlueDragonSummoner-SS01-EN-C-1E.png,4,,SS01ENA08Blue Dragon SummonerCommon,1
Thousand Knives,8,8,,SS01,ENA09,Thousand Knives,Common,Spell,Normal,,,,,,,"If you control ""Dark Magician"": Target 1 monster your opponent controls; destroy that target.",https://yugipedia.com/wiki/Thousand_Knives,https://ms.yugipedia.com//thumb/7/78/ThousandKnives-SS01-EN-C-1E.png/300px-ThousandKnives-SS01-EN-C-1E.png,4,,SS01ENA09Thousand KnivesCommon,1
Sage's Stone,9,9,,SS01,ENA10,Sage's Stone,Common,Spell,Normal,,,,,,,"If you control a face-up ""Dark Magician Girl"": Special Summon 1 ""Dark Magician"" from your hand or Deck.",https://yugipedia.com/wiki/Sage%27s_Stone,https://ms.yugipedia.com//thumb/0/03/SagesStone-SS01-EN-C-1E.png/300px-SagesStone-SS01-EN-C-1E.png,4,,SS01ENA10Sage's StoneCommon,1
